State,Year,Quarter,Pincode,RegisteredUsers,Pincode_log,RegisteredUsers_log
Andaman & Nicobar,2020,1,744202,1216,13.520067782340659,7.103322062526113
Andaman & Nicobar,2020,1,744104,1154,13.519936088992461,7.050989447068045
Andaman & Nicobar,2020,1,744107,1062,13.519940120678827,6.967909201801884
Andaman & Nicobar,2020,1,744112,889,13.519946840119985,6.790097235513905
Andaman & Nicobar,2020,1,744211,886,13.52007987575828,6.786716950605081
Andaman & Nicobar,2020,1,744301,669,13.520200801891368,6.505784060128229
Andaman & Nicobar,2020,2,744103,6804,13.519934745093392,8.825265953515752
Andaman & Nicobar,2020,2,744105,5479,13.519937432889723,8.608677881538416
Andaman & Nicobar,2020,2,744101,5365,13.51993205728984,8.587651655064798
Andaman & Nicobar,2020,2,744102,4066,13.51993340119252,8.310414994188292
Andaman & Nicobar,2020,2,744202,1475,13.520067782340659,7.29641326877392
Andaman & Nicobar,2020,2,744104,1333,13.519936088992461,7.195187320178709
Andaman & Nicobar,2020,2,744107,1252,13.519940120678827,7.132497551660044
Andaman & Nicobar,2020,2,744112,1039,13.519946840119985,6.946013991099227
Andaman & Nicobar,2020,2,744211,1036,13.52007987575828,6.943122422819428
Andaman & Nicobar,2020,2,744205,806,13.520071813496115,6.692083742506628
Andaman & Nicobar,2020,3,744103,8318,13.519934745093392,9.026177120302856
Andaman & Nicobar,2020,3,744105,7007,13.519937432889723,8.854664928370534
Andaman & Nicobar,2020,3,744101,6881,13.51993205728984,8.83651926920248
Andaman & Nicobar,2020,3,744102,4919,13.51993340119252,8.50086053679534
Andaman & Nicobar,2020,3,744202,1965,13.520067782340659,7.583247524303362
Andaman & Nicobar,2020,3,744104,1718,13.519936088992461,7.4489161025442
Andaman & Nicobar,2020,3,744107,1710,13.519940120678827,7.444248649496705
Andaman & Nicobar,2020,3,744112,1372,13.519946840119985,7.22402480828583
Andaman & Nicobar,2020,3,744211,1279,13.52007987575828,7.153833801578843
Andaman & Nicobar,2020,3,744205,1008,13.520071813496115,6.915723448631314
Andaman & Nicobar,2020,4,744103,10408,13.519934745093392,9.250330020192342
Andaman & Nicobar,2020,4,744105,8962,13.519937432889723,9.100748695346088
Andaman & Nicobar,2020,4,744101,8593,13.51993205728984,9.058703197313223
Andaman & Nicobar,2020,4,744102,5882,13.51993340119252,8.67965211911394
Andaman & Nicobar,2020,4,744202,2711,13.520067782340659,7.905072849498666
Andaman & Nicobar,2020,4,744107,2346,13.519940120678827,7.76046702921342
Andaman & Nicobar,2020,4,744104,2167,13.519936088992461,7.681099001536359
Andaman & Nicobar,2020,4,744112,1761,13.519946840119985,7.473637108496206
Andaman & Nicobar,2020,4,744211,1579,13.52007987575828,7.364547014255642
Andaman & Nicobar,2020,4,744205,1346,13.520071813496115,7.204892510204673
Andaman & Nicobar,2021,1,744103,11416,13.519934745093392,9.342771159156673
Andaman & Nicobar,2021,1,744105,9934,13.519937432889723,9.203718495667296
Andaman & Nicobar,2021,1,744101,9457,13.51993205728984,9.154510487015513
Andaman & Nicobar,2021,1,744102,6395,13.51993340119252,8.763271714012943
Andaman & Nicobar,2021,1,744202,3005,13.520067782340659,8.008032846969307
Andaman & Nicobar,2021,1,744107,2586,13.519940120678827,7.857867559331803
Andaman & Nicobar,2021,1,744104,2383,13.519936088992461,7.776115477098742
Andaman & Nicobar,2021,1,744112,1940,13.519946840119985,7.570443252057374
Andaman & Nicobar,2021,1,744211,1774,13.52007987575828,7.480992162869525
Andaman & Nicobar,2021,1,744205,1505,13.520071813496115,7.316548177182976
Andaman & Nicobar,2021,2,744103,12268,13.519934745093392,9.414749525234143
Andaman & Nicobar,2021,2,744105,10668,13.519937432889723,9.275003885301905
Andaman & Nicobar,2021,2,744101,10120,13.51993205728984,9.222268942841456
Andaman & Nicobar,2021,2,744102,6837,13.51993340119252,8.830104317913793
Andaman & Nicobar,2021,2,744202,3261,13.520067782340659,8.089789175789319
Andaman & Nicobar,2021,2,744107,2783,13.519940120678827,7.931284761525891
Andaman & Nicobar,2021,2,744104,2573,13.519936088992461,7.8528278122817445
Andaman & Nicobar,2021,2,744112,2083,13.519946840119985,7.641564441260972
Andaman & Nicobar,2021,2,744211,1904,13.52007987575828,7.55171221535131
Andaman & Nicobar,2021,2,744205,1626,13.520071813496115,7.3938782901077555
